lemma,METs,Cals
African dancing,4.5,363.15
Cumbia dancing,7.8,629.46
Indian dancing,4.5,363.15
Irish dancing,7.8,629.46
Irish step dancing,4.5,363.15
Latin street dancing,4.5,363.15
Mexican dancing,4.5,363.15
Mexican hat dancing,4.5,363.15
aerobics,6,484.2
alligator hunting,3.5,282.45
archery,4.3,347.01
arts and crafts,1.8,145.26
attending a family reunion,1.8,145.26
attending church,1.8,145.26
bachata dancing,4.5,363.15
backpacking,7,564.9
ballet dancing,5,403.5
ballroom dancing,5.5,443.85
barn dancing,4.5,363.15
bass fishing,3.5,282.45
bathing a pet,3.5,282.45
bathing child,2,161.4
bear hunting,6,484.2
bedtime preparation,2.3,185.61
belly dancing,4.5,363.15
biking,4,322.8
biking racing,12,968.4
bird hunting,3.3,266.31
bird watching,1.3,104.91
boating,1.3,104.91
boating paddle,4,322.8
bob sledding,7,564.9
body building,6,484.2
body painting,1.8,145.26
booty dancing,7.8,629.46
bow hunting,3.5,282.45
bowling,3.8,306.66
boxing,5.5,443.85
break dancing,4.5,363.15
breastfeeding,2,161.4
broomball,7,564.9
brushing my teeth,2,161.4
building cars,3,242.1
building fire,2.5,201.75
camping,2.5,201.75
canoeing,5,403.5
chair dancing,7.8,629.46
cheer dancing,7.8,629.46
cheerleading,6,484.2
chopping wood,4.5,363.15
circuit training,4.3,347.01
cleaning,3.3,266.31
cleaning a bathroom,3.5,282.45
cleaning garage,3.5,282.45
cleaning vehicles,3.5,282.45
cleaning yard,4,322.8
climbing stairs,4,322.8
clipping my nails,2,161.4
coaching basketball,4,322.8
coaching football,4,322.8
coaching soccer,4,322.8
contemporary dancing,7.8,629.46
cooking,3.5,282.45
country dancing,7.8,629.46
coyote hunting,5,403.5
crab fishing,4.5,363.15
crocheting,1.3,104.91
dancing,7.8,629.46
dancing celebration,7.8,629.46
dancing modern,7.8,629.46
deep sea diving,7,564.9
deep sea fishing,3.5,282.45
deer hunting,6,484.2
digging holes,5,403.5
dirty dancing,7.8,629.46
disco dancing,7.8,629.46
doing a ropes course,4,322.8
doing ashtanga yoga,2.5,201.75
doing bikram yoga,2.5,201.75
doing calisthenics,3.5,282.45
doing core yoga,2.5,201.75
doing crunches,3.5,282.45
doing gentle yoga,2.3,185.61
doing hot yoga,2.5,201.75
doing kundalini yoga,2.5,201.75
doing laundry,3.3,266.31
doing my hair,2.5,201.75
doing my makeup,2.5,201.75
doing my nails,2,161.4
doing power yoga,4,322.8
doing prenatal yoga,2.5,201.75
doing pullups,3.5,282.45
doing pushups,3.5,282.45
doing situps,3.5,282.45
doing the Carlton dance,7.8,629.46
doing the Diddy dance,7.8,629.46
doing the Snoopy dance,7.8,629.46
doing the Thriller dance,7.8,629.46
doing the chicken dance,7.8,629.46
doing the cooking dance,7.8,629.46
doing the hammer dance,7.8,629.46
