state,c_in,c_out,flux
Alabama,272.520156047,168.046806895,0.616639918794
Arizona,263.677812276,181.962107813,0.690092602945
Arkansas,270.995808592,167.732177133,0.618947495919
California,266.329634561,185.061935082,0.694860470133
Colorado,256.426329276,203.475330444,0.793504048584
Connecticut,266.844554689,174.58261154,0.654248357226
Delaware,265.921475312,164.976775769,0.620396587281
District.of.Columbia,257.624739692,175.86825587,0.682652823172
Florida,261.952026729,178.668156864,0.6820644188
Georgia,265.148421453,169.014397485,0.637433165012
Idaho,266.144373673,181.680720524,0.68263971925
Illinois,265.251246035,175.548303821,0.661818960119
Indiana,272.714262691,177.455621244,0.650701651951
Iowa,273.856552294,185.140389241,0.676048784263
Kansas,272.689453125,180.076398243,0.660371701873
Kentucky,274.718438538,173.773797744,0.632552364046
Louisiana,271.037271259,164.719880484,0.607738853476
Maine,252.526797386,184.184129747,0.729364691802
Maryland,261.742899534,167.847377629,0.641268121995
Massachusetts,263.667284032,178.750410074,0.677939285223
Michigan,270.36703061,171.490080836,0.634286216219
Minnesota,261.349663339,188.647069198,0.721818680722
Mississippi,271.369793066,161.255370408,0.594227414136
Missouri,263.180442375,176.534405362,0.670773267836
Montana,276.228346457,193.886628734,0.701907067906
Nebraska,270.253943218,184.789012811,0.683760653446
Nevada,261.51717033,178.687512937,0.683272584784
New.Hampshire,256.549118388,183.518805329,0.715335942224
New.Jersey,268.780313387,174.081992114,0.647673893671
New.Mexico,269.639883833,182.075064103,0.675252716749
New.York,264.402428448,184.793707104,0.698910778503
North.Carolina,268.814170724,172.592469969,0.642051233772
North.Dakota,276.101075269,182.777218684,0.661993867665
Ohio,275.524176231,175.27068684,0.636135417362
Oklahoma,272.753328113,180.571534946,0.662032379936
Oregon,264.099547511,189.762535857,0.718526546694
Pennsylvania,267.318175193,174.521897768,0.652862072104
Rhode.Island,266.548054011,179.452426655,0.67324605809
South.Carolina,267.446529392,171.851677275,0.642564619048
South.Dakota,285.794392523,189.572648276,0.663318291874
Tennessee,266.469433719,173.622786908,0.651567365475
Texas,271.082760837,174.412745744,0.643392981558
Utah,267.219059406,195.664084749,0.732223536691
Vermont,267.560096154,203.224180791,0.759545925242
Virginia,265.678312312,175.669168013,0.66121004189
Washington,265.620263425,184.718635433,0.695423734062
West.Virginia,277.560090703,171.78854654,0.618923801706
Wisconsin,260.578781749,180.205455094,0.691558437278
Wyoming,267.4,209.582647059,0.783779532756
