lemma,item,water,calories,protein,lipid,carbohydrates
almond butter,12195,1.64,614,20.96,55.5,18.82
almond joy,19065,8.2,479,4.13,26.93,59.51
almonds,12061,4.7,575,21.22,49.42,21.67
american cheese,1253,39.61,371,18.13,31.79,3.7
anchovies,15002,50.3,210,28.89,9.71,0
angel food cake,18086,33.2,258,5.9,0.8,57.8
apple butter,19294,56.45,173,0.39,0.3,42.47
apple crisp,19186,62.91,161,1.75,3.43,30.84
apple fritter,18319,37.6,316,3,16.1,42.6
apple jacks,8003,2.5,366,5,1.9,88.2
apple pie,18302,47.3,265,2.4,12.5,37.1
apples,9003,85.56,52,0.26,0.17,13.81
applesauce,9019,88.22,42,0.17,0.1,11.27
apricot,9021,86.35,48,1.4,0.39,11.12
artichoke,11007,84.94,47,3.27,0.15,10.51
asparagus,11011,93.22,20,2.2,0.12,3.88
avocado,9037,73.23,160,2,14.66,8.53
bacon,10124,12.32,541,37.04,41.78,1.43
bacon cheeseburger,21097,46.85,282,15.78,15.86,18.89
bacon fat,4609,0,897,0,99.5,0
bag of popcorn,25026,2.62,532,8.69,31.07,54.41
bagel,18001,36.28,257,10.02,1.62,50.5
baked macaroni,36017,67.72,153,6.47,6.1,18.12
baked potato,11674,74.89,93,2.5,0.13,21.15
banana,9040,74.91,89,1.09,0.33,22.84
banana bread,18019,29.2,326,4.3,10.5,54.6
banana chips,19400,4.3,519,2.3,33.6,58.4
banana cream pie,18304,47.9,269,4.4,13.6,32.9
banana peppers,11976,91.81,27,1.66,0.45,5.35
banana pudding,19122,75.9,101,2.9,1.73,18.43
barley,20006,68.8,123,2.26,0.44,28.22
beef,13399,64.46,187,27.42,7.72,0
beef brisket,13347,59.79,251,18.17,18.98,0.47
beef jerky,19002,23.36,410,33.2,25.6,11
beef patty,13317,53.91,295,23.05,21.83,0
beef ribs,13855,47.18,359,22.28,29.21,0
beef stew,22905,80.78,99,4.41,5.53,7.85
beef stroganoff,22944,51.5,147,4.8,3.2,24.8
beefy crunch burrito,21265,60.6,189,8.05,8.05,21.07
beet,11080,87.58,43,1.61,0.17,9.56
ben and jerry''s ice cream,19089,57.2,249,3.5,16.2,22.29
bison burger,17331,59.53,238,23.77,15.13,0
black bean,16015,65.74,132,8.86,0.54,23.71
blooming onion,21130,24.52,411,3.86,25.23,43.58
blue cheese,1004,42.41,353,21.4,28.74,2.34
blueberry,9050,84.21,57,0.74,0.33,14.49
blueberry muffin,18278,39.5,285,6.5,10.8,40.7
blueberry pancakes,18294,53.2,222,6.1,9.2,29
blueberry pie,18306,51.2,245,2.7,11.9,33.5
blueberry waffles,28009,40.5,265,5.5,8.7,41.7
boiled peanuts,16088,41.78,318,13.5,22.01,21.26
bok choy,11116,95.32,13,1.5,0.2,2.18
bread,18064,34.53,270,10.37,3.44,49.46
bread crumbs,18079,6.51,395,13.35,5.3,71.98
breadsticks,18080,6.1,412,12,9.5,68.4
broccoli,11090,90.69,28,2.98,0.35,5.24
broccoli rabe,11096,92.55,22,3.17,0.49,2.85
broiled chicken,5000,67.78,144,28.04,3.57,0
brown rice,20041,72.96,112,2.32,0.83,23.51
brownies,18154,12.6,466,6.2,29.1,50.2
brussels sprouts,11098,86,43,3.38,0.3,8.95
buffalo chicken dip,21314,76,142,0.54,15.45,1.81
butter,1001,15.87,717,0.85,81.11,0.06
butter cake,18120,24.6,388,5.5,19.9,48.8
butter cookie,18155,4.6,467,6.1,18.8,68.9
butter sauce,6264,84.02,72,3.95,2.56,8.29
buttercream frosting,19241,13.33,408,1.11,13.06,71.8
buttermilk biscuits,18016,28.9,353,7,16.3,44.6
butternut squash,11486,87.8,40,0.9,0.09,10.49
butterscotch,19070,5.25,391,0.03,3.3,90.4
cabbage,11109,92.18,25,1.28,0.1,5.8
cake,18139,23.3,357,5.4,12.4,57.2
cake with frosting,18102,20.7,356,4.4,10.3,63.2
canadian bacon,10131,61.7,185,24.24,8.44,1.35
candied yams,11659,62.75,164,0.89,3.54,32.12
candy bar,19155,5.55,491,7.53,23.85,61.51
candy cigarettes,19163,2.6,360,0,0.3,96.7
