lemma,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"almond butter",1,1,0,7,1,1,0,1,4,2,0,1,0,0,0,1,1,0,1,5,0,3,0,2,0,0,0,0,1,1,7,1,0,1,0,3,1,0,0,0,2,3,0,0,1,3,0,0,0
"almond joy",0,1,1,11,1,2,0,1,5,4,0,5,4,0,2,1,0,0,0,0,4,0,2,0,0,0,3,1,2,1,5,2,0,6,0,1,4,0,5,1,1,11,0,1,4,3,0,1,0
"almonds",2,1,1,35,6,1,1,2,13,5,1,8,4,3,0,2,9,2,3,5,7,3,3,3,0,1,1,0,8,3,22,8,0,12,1,1,8,1,1,1,4,21,2,0,6,5,1,1,0
"american cheese",0,0,0,4,1,2,0,0,2,2,0,1,1,0,2,0,2,0,1,4,1,0,0,2,0,0,1,0,4,1,4,2,0,2,0,0,5,0,1,0,0,0,0,1,1,1,1,0,0
"anchovies",0,15,0,9,0,0,0,0,5,0,0,3,1,1,0,0,1,0,1,10,2,0,0,0,0,0,0,0,2,0,1,1,0,3,0,1,1,0,0,0,0,3,0,0,1,9,0,0,0
"angel food cake",1,1,0,6,0,1,0,0,1,2,0,3,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,0,2,0,0,1,0,0,1,0,2,0,0,1,1,0,0,1,0,1,0
"apple butter",2,0,0,3,0,0,0,0,1,2,0,2,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,2,0,1,1,0,0,0,3,0,1,0,0,1,1,1,0
"apple crisp",0,0,0,5,1,2,0,0,1,0,0,2,0,0,0,0,0,1,0,1,3,2,0,0,0,0,0,1,1,0,7,0,0,4,1,3,3,0,1,0,0,0,0,0,2,4,0,1,0
"apple fritter",0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,1,1,0,1,0
"apple jacks",12,7,7,18,0,2,2,4,10,17,0,10,5,0,2,3,11,0,9,6,8,1,10,4,0,1,0,0,10,0,17,10,0,15,1,1,8,0,7,0,6,19,0,0,3,6,2,2,0
"apple pie",13,7,5,106,12,26,7,9,48,50,2,47,22,14,8,14,19,2,53,34,43,18,8,20,1,4,3,4,24,0,91,38,0,69,4,10,49,8,28,1,17,75,3,4,40,24,8,23,0
"apples",16,31,20,251,31,55,9,16,79,96,6,93,31,16,18,25,42,10,65,105,74,53,18,29,1,15,19,18,76,7,212,63,0,89,16,14,99,13,23,4,30,149,18,7,57,36,12,28,0
"applesauce",4,5,1,21,0,7,4,3,14,16,1,20,3,4,2,5,6,1,22,11,21,10,4,9,0,3,4,0,7,2,14,17,1,25,5,3,22,3,4,0,12,23,0,1,10,11,1,5,0
"apricot",0,1,0,9,0,1,1,0,4,1,0,3,0,0,0,0,1,0,3,1,1,1,0,2,0,0,0,0,1,0,5,2,0,0,2,2,3,0,0,0,0,9,0,0,2,1,1,2,1
"artichoke",0,1,0,23,0,1,1,1,3,1,0,1,1,0,1,1,1,0,2,2,2,4,0,1,0,0,5,0,6,0,16,2,0,4,0,2,2,0,1,0,0,3,0,0,1,2,1,0,0
"asparagus",5,5,2,48,8,3,3,4,18,24,0,8,11,0,7,15,2,1,8,10,8,6,4,11,0,0,1,0,16,1,32,11,0,18,4,5,17,2,7,1,10,27,0,0,9,8,0,5,0
"avocado",4,21,5,148,5,7,0,4,35,9,2,30,8,6,4,6,9,1,11,18,15,9,1,9,0,3,10,0,14,3,62,17,1,8,4,11,20,5,4,0,7,63,2,2,16,11,2,7,0
"bacon",130,123,86,1111,118,119,49,65,424,367,26,367,192,68,82,121,186,18,262,224,309,131,105,185,5,45,113,19,248,37,593,291,20,430,86,82,409,44,194,25,180,800,43,23,232,159,51,163,2
"bacon cheeseburger",2,6,1,30,3,3,3,1,11,10,1,8,1,5,2,4,3,0,8,10,12,7,1,3,0,0,3,1,8,2,19,14,0,7,2,3,12,0,1,0,8,21,3,0,7,4,4,4,0
"bacon fat",2,0,1,7,0,1,0,0,0,3,1,1,2,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,1,0,4,2,1,1,0,0,1,0,0,0,1,4,0,0,1,0,1,1,0
"bag of popcorn",0,0,1,6,0,0,0,0,0,2,0,1,2,0,1,2,0,0,3,0,1,1,0,0,0,0,0,0,1,0,2,4,0,4,0,0,4,1,0,0,3,2,2,0,1,1,0,0,0
"bagel",0,0,0,8,1,3,1,0,3,0,0,1,0,0,0,1,0,2,2,6,2,0,0,0,0,0,0,0,6,0,16,0,0,1,0,0,8,1,0,0,1,2,0,1,0,0,1,0,0
"baked macaroni",0,0,0,0,0,0,0,0,5,1,0,5,1,1,0,0,5,0,2,2,2,2,0,1,0,0,1,0,5,0,1,5,0,1,0,0,3,0,0,0,0,1,0,0,2,0,1,0,0
"baked potato",35,19,15,168,18,13,10,5,87,64,8,58,38,13,15,34,56,2,45,43,55,35,22,23,3,5,15,4,40,6,90,56,2,90,24,8,65,4,34,1,33,161,8,1,45,27,16,20,1
"banana",87,62,28,501,48,83,29,30,280,168,4,212,69,37,46,66,94,13,137,149,144,72,44,75,4,21,57,15,150,12,302,155,10,198,41,39,217,15,102,4,81,367,28,10,140,69,26,61,2
